,time,year,month,mom6m,mom12m,chmom,mom126m,bmom1m
68,68,1985,9,0.024435453,0.0228522516,0.0130691005,0.0113663525,0
69,69,1985,10,0.0495548493,0.0716544172,-0.011775563,0.0613304123,1
70,70,1985,11,0.0154941979,0.0283321232,-0.024998727,0.0404929249,1
71,71,1985,12,0.0103936095,0.033425559300000005,-0.01610082,0.0264944295,1
72,72,1986,1,0.0021840776,0.0004387933,-0.02983078,0.0320148576,1
73,73,1986,2,0.0232140026,0.0098390298,-0.001141044,0.0243550466,0
74,74,1986,3,0.0147989623,0.0158154166,-0.006224972,0.021023934299999998,1
75,75,1986,4,0.0295963293,0.0270025267,0.0122102348,0.0173860945,1
76,76,1986,5,0.0137401746,0.038223014,-0.017657473,0.0313976476,1
77,77,1986,6,0.0141602103,0.024082835,0.0112224842,0.0029377260999999995,0
78,78,1986,7,0.005359716800000001,-0.00191109,0.0019511794,0.0034085374000000007,0
79,79,1986,8,-0.017120997,-0.009070474,-0.032292162,0.015171165,1
80,80,1986,9,-0.014491557,-0.041250518,0.0240737208,-0.0385652778,1
81,81,1986,10,0.0208480098,0.0605927617,-0.059840561,0.0806885708,1
82,82,1986,11,-0.010012261,-0.001464984,-0.022354786,0.012342525000000002,1
83,83,1986,12,0.010153414,0.0069905981,-0.00208871,0.012242124,1
84,84,1987,1,0.002199332,-0.017031352,0.0079766136,-0.0057772816,1
85,85,1987,2,-0.029527157,-0.020690473,-0.013180177,-0.016346979999999997,1
86,86,1987,3,-0.0006817819999999999,-0.001132314,0.0025223942,-0.0032041761999999996,1
87,87,1987,4,0.0254864168,0.0194716146,0.0037923853,0.021694031500000002,1
88,88,1987,5,0.0097827598,-0.013807163,0.0185367895,-0.0087540297,1
89,89,1987,6,-0.011066281,0.0142480996,-0.011542804,0.00047652299999999953,0
90,90,1987,7,0.0297631992,0.0369311487,0.0275904809,0.002172718300000001,0
91,91,1987,8,-0.005942586,0.007931697,-0.025580387000000003,0.019637801000000003,1
92,92,1987,9,0.0008590474000000001,0.0094423575,-0.007836638,0.0086956854,1
93,93,1987,10,-0.002299294,-0.033510371000000004,0.0134984418,-0.0157977358,0
94,94,1987,11,0.0433514068,0.0344736065,-9.2708e-05,0.043444114799999996,1
95,95,1987,12,0.0313264692,0.0933832245,-0.082989794,0.1143162632,1
96,96,1988,1,-0.083708645,-0.09503134,-0.050942805,-0.03276584,1
97,97,1988,2,-0.0291263,0.0015287959,-0.068403496,0.03927719599999999,1
98,98,1988,3,-0.021150814,-0.000614389,-0.043219372,0.022068558,1
99,99,1988,4,-0.000506115,0.0102111906,-0.025257814,0.024751699,1
100,100,1988,5,-0.006915180999999999,0.007340853,-0.021068722,0.014153541000000002,1
101,101,1988,6,0.0309503769,0.0071607934,0.0365485789,-0.0055982020000000035,1
102,102,1988,7,-0.007708455,-0.011630835,-0.006769557,-0.0009388980000000005,1
103,103,1988,8,-0.001940163,0.005973375,0.0007002509,-0.0026404139,1
104,104,1988,9,0.007655125,0.0190183892,-0.005093502,0.012748626999999998,1
105,105,1988,10,0.0250331135,0.0435490641,0.0004412437,0.0245918698,0
106,106,1988,11,0.0252023674,0.0231887481,0.0006520362,0.0245503312,1
107,107,1988,12,0.006804811500000001,0.0234844328,-0.036892383,0.0436971945,1
108,108,1989,1,-0.02734965,-0.026027743,-0.016348845,-0.011000804999999999,1
109,109,1989,2,-0.002447073,0.0091821779,-0.015734742,0.013287668999999998,1
110,110,1989,3,0.017034508700000003,0.0259968283,-0.00139861,0.018433118700000004,0
111,111,1989,4,0.0130478748,0.0172423143,-0.004403621,0.0174514958,1
112,112,1989,5,0.0080109385,0.0234630706,0.0130689031,-0.005057964599999999,0
113,113,1989,6,-0.020046686,0.0021700315,-0.024092033,0.004045346999999998,1
114,114,1989,7,0.054130944,0.0645065549,0.0155927867,0.0385381573,1
115,115,1989,8,0.01167146,0.0315373599,-0.020112788,0.031784248,1
116,116,1989,9,0.0125160559,0.0184689757,0.0037839877,0.0087320682,1
117,117,1989,10,0.0021738863,0.0074371849,0.0012706372,0.0009032490999999999,0
118,118,1989,11,0.033368042,0.0453996674,0.0005301201000000001,0.0328379219,0
119,119,1989,12,0.0260137417,0.0409376371,-0.005032199,0.0310459407,0
120,120,1990,1,-0.047824497,-0.074583889,0.0101340535,-0.0579585505,1
121,121,1990,2,0.0062113252,-0.002298775,0.0029343282,0.0032769970000000002,1
122,122,1990,3,-0.01722075,0.0058667963,-0.033130966,0.015910215999999998,1
123,123,1990,4,0.002904757,0.0078794602,0.0164369524,-0.013532195399999999,1
124,124,1990,5,0.0369956424,0.0506840958,-0.003074113,0.040069755400000004,1
125,125,1990,6,0.0142478591,0.0224766139,0.0203845881,-0.0061367290000000005,1
126,126,1990,7,0.008001404699999999,-0.001619312,-0.012525108,0.0205265127,1
127,127,1990,8,-0.018841832,0.0026782843,-0.029139844,0.010298012000000002,1
128,128,1990,9,0.0131079165,0.0301288958,0.0053198018,0.0077881147,0
129,129,1990,10,0.0442670947,0.0335880973,-0.011537276,0.0558043707,1
130,130,1990,11,-0.026057351,-0.016870711,-0.046940927,0.020883576,1
131,131,1990,12,0.0584106632,0.07738033150000001,-0.015362671,0.0737733342,1
132,132,1991,1,-0.148733762,-0.124095827,-0.066299218,-0.082434544,1
133,133,1991,2,-0.13659704,-0.140482442,-0.051363274,-0.085233766,1
134,134,1991,3,-0.026151756,-0.042768799,-0.031238571,0.005086814999999998,1
