,year,absacc,acc,age,agr,bm,bm_ia,cash,cashdebt,cashpr,chatoia,chcsho,chempia,chinv,chpmia,cfp,cfp_ia,cinvest,currat,depr,dy,ep,egr,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsaleinv,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pctacc,quick,rd_sale,rd_mve,realestate,roic,salecash,saleinv,salerec,sgr,sp,tang,tb,chtx,ear,roaq,roavol,roeq,rsup,secured,stdacc,stdcf,sue,aeavol,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom1m,mom6m,mom12m,mom36m,mve,mve_ia,retvol,pricedelay,std_dolvol,std_turn,turn,zerotrade,chfeps,chnanalyst,disp,fgr5yr,nanalyst,sfe,ms,ps,nincr,divi,divo,rd,sin,IPO,convind,securedind,month
0,1980,0.0204372066,-0.019960622,0.0048405452,-0.051246795,0.0025930808,0.0261800739,0.0052221583,-0.066361,0.0388067926,0.0085074321,-0.029185461,-0.034200448,-0.031438215,0.0103190659,-0.0340168,-0.001714746,-0.004527183,0.035945904300000005,0.0574528378,-0.122729675,-0.059896556,-0.042442275999999994,-0.025317863,-0.002155245,-0.049510002000000004,0.0858952149,-0.034496495,-0.040990828,-0.032099523,-0.03959802,-0.032563887,-0.00871133,-0.013359956000000001,-0.00670261,0.0157560252,0.010678072,-0.004552137,0.0022671241,-0.001279236,0.0173680609,-0.0009473089999999999,0.0032275197999999997,0.055332502699999994,0.0294750256,0.0362184498,0.0967607184,-0.087176104,0.002292608,-0.039993083,-0.048152982999999996,-0.018841384,-0.003519832,-0.02926521,-0.050537035999999994,0.029509762400000004,0.0231647812,-0.015996849,0.0941273302,-0.002319325,0.0088824508,0.0967607184,0.0446498417,0.0392806606,0.0355656009,0.029821390099999998,0.0531642659,0.1059890539,0.1061016224,-0.019630013,-0.076103419,0.1493077506,0.0531101435,0.1152088455,0.0771443456,-0.019035643,0.023016779900000003,0.0432833413,-0.0180676,-0.07493051,-0.08924918400000001,0.1003563534,0.014701598100000001,0.020823515900000002,0.021465294399999998,-0.021584159,0.033546953,0.0967607184,0.0967607184,0.0967607184,0.0967607184,0.0967607184,0.0967607184,-0.06284396099999999,-0.02158265,0.0031673020000000003,-0.031232676,-0.031232676,-0.031232676,0.0967607184,0.0967607184,0.004620282,0.0967607184,1
1,1980,0.0156360033,-0.000363364,-0.018122351000000002,-0.014144884,-0.021252552,-0.004249866,0.0031537622999999997,-0.02783143,0.025498864399999998,0.0040801383,-0.005485261,-0.012588584,-0.027173322000000003,-0.001469726,-0.004212775,-0.011402991999999999,0.0026179631,0.011371751299999998,0.024581303399999997,-0.067662968,-0.037378233999999996,-0.021663803,0.024039768599999997,-0.001227052,0.0086489584,0.0211672987,-0.009877467,-0.012500053999999998,-0.023239067000000002,-0.00649833,0.014492766499999999,-0.008601603000000001,-0.005929984,0.0178501999,0.007847685600000001,0.0061626288,0.0227010871,0.0102135463,0.0082159686,-0.009162638,-0.013690698999999999,0.0045603412,0.00042956589999999995,-0.009645805,-0.01582693,-0.014711898999999999,-0.031805856,0.0011422211,-0.010997108,-0.000246498,-0.008543926,-0.010972441000000001,-0.00234785,-0.030568441000000002,0.0187231697,-0.009973203,0.0088417437,0.0407529183,0.000382181,-0.012918366,-0.014711898999999999,0.033343782200000005,0.0357658148,-0.002592848,0.0003961695,0.0307529243,-0.008089314,-0.006790815,-0.009960923,0.0354623239,0.06030310269999999,0.0044048434000000004,0.0736649303,-0.010422978000000001,-0.011720465,0.0399167096,0.0472763433,-0.020950227,-0.008682588,-0.021880802999999997,0.005277056600000001,0.016692604099999998,-0.010594359,0.018497426299999998,0.0325087511,0.0146429374,-0.014711898999999999,-0.014711898999999999,-0.014711898999999999,-0.014711898999999999,-0.014711898999999999,-0.014711898999999999,-0.026242466000000002,-0.023227982999999997,-0.017169981,-0.051511995,-0.051511995,-0.051511995,-0.014711898999999999,-0.014711898999999999,-0.003763363,-0.014711898999999999,2
2,1980,-0.040065406,-0.018086386,-0.014526438000000001,0.0012635365,0.033693634,0.0228954279,-0.0030680190000000004,0.0428147382,-0.05564850599999999,0.0053300121,-0.0027643840000000004,-0.0005822409999999999,0.0102972166,-0.008387449,0.0331813321,0.0164513894,-0.014406513000000001,-0.022769341000000002,-0.062895537,0.1307011492,0.0523669208,0.0104095974,-0.010888736999999999,-0.018625682,-0.005810848,-0.097772279,-0.009141784,-0.010898834,0.0181949434,0.0011563241,-0.010984582,0.011194974199999999,0.0051264199,-0.0038620259999999997,-0.00883798,0.003371485,-0.005775848,0.0057231719999999995,0.0070752741,0.0049582527000000005,0.0178901421,-0.02699766,-0.025677506,0.00046492519999999994,-0.011395213999999999,-0.16039856800000002,0.0475425015,-0.0019392379999999998,0.0283194272,0.0226783669,-0.005245584,0.022444516499999997,0.0264758614,0.0427860171,-0.027343612000000003,-0.018316105,0.0063491229,-0.08502019400000001,-0.005418241999999999,0.0029823915,-0.16039856800000002,-0.05777800599999999,-0.061454484000000004,-0.017684362,0.0068593092,-0.058499008,-0.144774498,-0.145072819,-0.010357318,0.0294018329,-0.153487268,-0.061718573,-0.075369748,-0.108508971,-0.059038737,-0.04453789,-0.06033782099999999,0.0083491048,0.0824747479,0.11837530449999999,-0.11334589999999999,0.023836663199999997,-0.024477697000000003,-0.108644911,-0.12438617,0.0755650341,-0.16039856800000002,-0.16039856800000002,-0.16039856800000002,-0.16039856800000002,-0.16039856800000002,-0.16039856800000002,0.0421979704,0.0250326054,0.0088328789,0.011846803700000002,0.011846803700000002,0.011846803700000002,-0.16039856800000002,-0.16039856800000002,-0.00824521,-0.16039856800000002,3
3,1980,-0.017147469,-0.013814153000000001,0.0016774138,0.0014893122,-0.022915965,-0.014909691000000001,-0.015350801,0.0071684209,-0.020040893,0.0089818143,0.0100897749,-0.01155176,-0.010503061999999999,0.0332712318,0.0332231883,-0.002412909,-0.0059833709999999995,-0.019813231,-0.07345937,0.0738153748,-0.0026539159999999997,0.0107759596,-0.042379658,-0.01512975,0.0183145534,-0.082173716,0.0004059163,-0.006675632,0.0134791496,-0.010509698,-0.046865722,-0.031184619,0.0126351304,-0.0034022590000000004,-0.0008511230000000001,0.0049166522,0.0153015664,0.0218554906,0.02083403,0.013856605,0.0244354488,-0.014200546000000001,-0.0021480970000000003,-0.013044531000000002,-0.021871892,0.0534344887,0.011364288899999998,-0.027660591,0.013848911499999998,-0.033534243,0.022485464900000002,-0.039550694,0.005983222,-0.000629234,0.048544797300000005,0.0380613877,0.015983171799999998,-0.042455340999999994,0.0393695377,0.0051471483,0.0534344887,0.0214638711,0.030959200699999998,0.047112794699999995,0.0011234295,0.0029452555,0.033405667,0.0336130949,-0.027405585,-0.009506695,-0.050267208,0.0091156508,0.0081566177,0.0195560398,-0.039295601,0.0437125206,0.0483514235,0.017802253799999997,-0.0016214729999999998,-0.018755872,0.0267792902,-0.008310109,-0.02429669,0.0006576742999999999,0.013697858600000001,-0.025484347,0.0534344887,0.0534344887,0.0534344887,0.0534344887,0.0534344887,0.0534344887,-0.006749921999999999,0.027995844300000003,0.0296313176,0.035141869900000004,0.035141869900000004,0.035141869900000004,0.0534344887,0.0534344887,0.00011054350000000001,0.0534344887,4
4,1980,-0.005577149,0.0052402831,-0.004074424,0.0292551729,-0.01057482,-0.011134131,0.0152788871,0.0228059586,0.0201668343,-0.008060544000000001,0.016469011000000002,0.018234293500000002,0.0117357372,0.0023386506,0.0046667768,-0.008797260999999999,0.0035068495,-0.004485583,0.0103460836,-0.012991773,0.0229592632,0.032652517799999996,0.013240398799999999,0.0158646435,0.013340478400000001,0.031145854100000002,0.022202694900000004,0.01941579,-0.005680986,0.015136651200000002,0.0108619549,-0.009201999,-0.008281297,-0.00772665,0.0053805558,0.0015652364000000002,-0.010286439,0.0024891812,-0.000879717,-0.010665532,0.0009595275,-0.001567284,0.0011392046,-0.0011899360000000002,-0.007621393000000001,0.0737631835,0.020490668400000002,-0.011295831000000001,-0.0021441999999999998,0.007043482199999999,0.014046376200000002,-0.00969899,0.0012830692999999998,-0.0009201880000000001,-0.021303763,-0.012938793,0.0007046074,0.0038220227000000002,0.012346817,0.0023391265,0.0737631835,0.00022099029999999998,0.0040061575,-0.007195593,0.011609358,-0.003324746,0.0345609408,0.0344015637,-0.034547862,-0.008020451999999999,0.013369777,0.0116330319,-0.011055162,-0.013223821,-0.039748919,-0.030408829,-0.017396418,0.0034746326000000003,-0.006614582,-0.007832285999999999,-0.009775605,-0.014844288,0.0116617689,0.0203322063,0.022898555600000002,-0.006245574,0.0737631835,0.0737631835,0.0737631835,0.0737631835,0.0737631835,0.0737631835,0.0162313288,0.0041419612,-0.003776677,0.019834239899999998,0.019834239899999998,0.019834239899999998,0.0737631835,0.0737631835,0.0064764409999999994,0.0737631835,5
5,1980,-0.00316965,-0.012230485,-0.001714314,0.0035650213,-0.014738526000000002,-0.012372275,0.010333761,0.0056483379000000005,0.0030914571999999998,-0.0034818740000000003,-0.006615675,0.005099022700000001,-0.005249668000000001,0.0017824963,0.0247876572,0.005860191999999999,0.0032961118,-0.004182917,-0.012524461,0.003451562,0.0037191401,0.0089966366,-0.014509487,-0.007958332,0.0085517628,-0.011715775,0.0074982558999999996,-0.005592574,0.0036476620000000003,0.0067019858,-0.0012368610000000001,-0.027716655,0.004389075399999999,-0.0019006510000000002,-0.005999425,0.0081699072,0.0118886151,0.0027397131,-0.00164722,-0.0027483570000000003,-0.000865765,-0.011694491999999999,-0.0017682820000000001,-0.021245226000000002,-0.021757292999999997,0.04176751,0.013009106000000001,-0.017755715,-0.0017740829999999999,-0.005785454000000001,0.0014612775,-0.015900606,0.0066204084,-0.006665766,0.0333426306,0.0236063964,0.0228599825,-0.011317078000000001,0.0343656111,0.0062247814000000005,0.04176751,0.019225781299999998,0.029374255499999998,0.0202582962,0.0046147536,-0.0030147290000000003,-0.007747736,-0.007887007,-0.031133274,-0.006272705,0.0018467815,0.0170730474,0.0255266964,-0.019228278,-0.042868082,0.010658676399999999,0.026072084900000004,0.0289025856,-0.015792182,-0.016022931,-0.014106016,0.001183857,-0.014932512,-0.0048449140000000005,-0.002384939,0.00941361,0.04176751,0.04176751,0.04176751,0.04176751,0.04176751,0.04176751,-0.010839505,-0.000764904,0.008442400899999999,-0.003556812,-0.003556812,-0.003556812,0.04176751,0.04176751,-0.004098407,0.04176751,6
6,1980,0.0623826519,0.037026602799999996,0.0098320375,0.0304720212,-0.023826744,0.0101259772,0.042590028499999995,0.0181356089,0.0783202096,-0.00954491,0.0212833121,0.0051692146,0.0253466758,-0.006684221,-0.007137776,-0.031267106,-0.005262583,0.0639452149,0.0717563329,-0.098206565,-0.006055832,0.048495257199999996,0.072463179,0.0194444704,0.0083096085,0.0730088795,0.0428507812,0.030313596499999998,-0.030312499,0.0205266832,0.0791095635,0.034173210499999995,0.0102709238,0.0045526973,-0.017379091,0.028244599999999998,-0.00486549,-0.014872731,-0.015811366,-0.013571386000000001,-0.03731698,0.0043321869,0.0450863517,0.0867434656,0.0652446759,0.0946539718,0.039842849,0.0095200004,-0.038598838999999996,-0.004731624,0.024551418999999998,-0.0051469129999999995,0.021876035699999997,0.0100511133,0.0062234402,0.0006846949000000001,0.0177468712,0.0435547925,0.016322912,0.0033758224,0.0946539718,-0.015344713000000001,-0.008702211999999999,0.0009369416,0.0143312324,-0.00364781,0.1228898209,0.12072708019999999,-0.032955509,-0.029828737999999997,0.0827046649,0.015380930400000001,0.0169054739,0.017965018200000002,-0.048631214000000006,0.0052437401,0.013129571100000001,0.0296978333,-0.021888511,-0.022274715,0.034813836699999996,-0.036819081000000004,0.027697137900000002,0.0357902146,0.0325052464,-0.018152334,0.0946539718,0.0946539718,0.0946539718,0.0946539718,0.0946539718,0.0946539718,0.0377077086,-0.004052973,0.0206479377,0.022003732999999998,0.022003732999999998,0.022003732999999998,0.0946539718,0.0946539718,0.0235291067,0.0946539718,7
7,1980,0.0561289643,0.029805227599999998,-0.018089315,-0.004516562,-0.027501044,0.0093426267,0.0023588998,-0.008574314,0.045842058600000006,-0.001894012,0.00643503,-0.012487145,-0.010482263,-0.039151025,-0.029719238999999998,-0.00406595,0.0003173059,0.0550269225,0.09104864359999999,-0.121763637,-0.035074028,0.009187003000000001,0.0365671558,-0.008192241,-0.019827602,0.0848859356,0.0081979539,-0.010849862,-0.043137048,0.0055226062,0.0422518254,0.043232753,-0.017392918,0.024549650299999996,-0.005790526,0.0200825927,0.0234470159,-0.012384036000000001,-0.012334468000000001,-0.013611245,-0.031274424,0.023069539,0.0379618039,0.0441632063,0.0576595185,0.0668216306,0.003429179,0.012371079299999999,-0.041176493,-0.025022948,-0.004780894,-0.00829238,0.024602669100000002,-0.030329442,0.022793038300000002,-0.005777911,0.0052901156999999996,0.059638295099999995,0.0051070357,-0.003658777,0.0668216306,0.031638325099999996,0.023253510499999998,0.0147868647,-0.026881323,0.0392453643,0.07527373309999999,0.0749748527,-0.04305562,-0.05292188,0.10420077720000001,0.058721346699999996,0.0462180674,0.0662351604,0.0098881985,-0.027425499,0.0145643256,-0.009060089,-0.077400896,-0.086323575,0.0702622222,-0.042641789000000006,0.0549649233,0.0286940877,0.0099014374,0.0011312461,0.0668216306,0.0668216306,0.0668216306,0.0668216306,0.0668216306,0.0668216306,-0.033954451000000004,-0.012648758999999999,-0.0058786559999999995,-0.004856353,-0.004856353,-0.004856353,0.0668216306,0.0668216306,0.008639189399999999,0.0668216306,8
8,1980,0.0223234258,0.02572791,-0.04445886,0.0138374202,-0.015479447,0.007931298199999999,0.0058916084,-0.02467891,0.0357561864,0.0063004393,0.0103686288,0.0063233962,0.0109665426,-0.000586512,-0.024885833,0.00045016699999999996,0.0184394704,0.027994223,0.052239241299999996,-0.071371356,-0.020816089,-0.01334678,0.0176130102,-0.00069651,-0.007565895,0.0365151944,0.012204111699999999,0.0063369459,-0.035686312000000005,0.006323586500000001,-0.004144501,0.0039786855,-0.009756414,-0.011346749,-0.008860648,0.0086134695,-0.009855761999999999,0.00299686,-0.002538467,-0.001660378,0.0110609624,0.0019804889999999998,0.017420892,0.0074895965,0.0046148922999999994,0.0453914909,-0.006901929,0.0007905357000000001,-0.035323891,-0.03071669,0.0133744414,-0.028212221000000003,0.0214505546,-0.025100071,0.0204489666,0.0014402639,0.0310835438,0.0305361467,0.0180062957,0.0012443334,0.0453914909,0.022135508999999998,0.0254844141,0.0335153526,-0.008113615,0.029369262200000003,0.0086648721,0.0087906774,-0.051328087,-0.012392561000000002,0.06541380570000001,0.0237242846,0.0470569195,0.0006110383,-0.030631577000000004,-0.006432938000000001,0.0349009068,0.0165606797,-0.029554412999999998,-0.02591475,0.0080486686,0.026586164300000003,-0.01395154,-0.010263394,-0.014157103999999998,0.037070144900000004,0.0453914909,0.0453914909,0.0453914909,0.0453914909,0.0453914909,0.0453914909,-0.02823124,-0.02480464,-0.006570021,-0.059063057999999995,-0.059063057999999995,-0.059063057999999995,0.0453914909,0.0453914909,-0.010427078000000001,0.0453914909,9
9,1980,0.0313538599,0.0316581874,-0.045648575,0.023163287299999998,-0.034355245,-0.022978215,0.0155078576,-0.013759006,0.0452931483,0.0170487038,0.0104045747,0.0043527667,0.0046039419,-0.010894246000000002,-0.01277994,-0.0056676190000000005,-0.009631259,0.0318298624,0.0490209581,-0.071619027,-0.021377153,0.0289769753,0.0304511789,0.0040607632,0.0098622776,0.02599968,0.0082316892,0.0083038626,-0.041862946,0.0168002814,0.033352481499999996,0.0042633628,-0.006999255,0.017285601299999998,0.0012367725,0.0211448714,0.0202341727,0.0025922628,0.004666818,-0.016244668,-0.004081319,0.0160836101,0.046772267,0.0067100161,-0.007805036,0.0381712031,0.0004450433,-0.024578789,-0.022527647,-0.029351352999999997,0.0324398895,-0.040041007,0.0382534773,-0.022464951,0.050985809800000004,0.0141378226,0.0409997552,0.0143898102,0.0356930626,0.0169121058,0.0381712031,0.0078626269,0.0063657908999999995,0.0398373213,0.0132009653,0.020152331000000002,0.051076215300000005,0.052673087699999996,0.0300199671,0.0077032104,0.06417806179999999,0.030615701600000003,0.0377073732,0.0289150202,0.0167361052,0.0552585338,0.0673254073,0.0277813915,-0.040117651000000004,-0.055620837,0.0362305002,0.0050324985,0.0006119557,0.027523772400000004,0.0397887934,-0.005861656,0.0381712031,0.0381712031,0.0381712031,0.0381712031,0.0381712031,0.0381712031,-0.024441417000000003,-0.0063973580000000006,-0.008578374,-0.054164770999999994,-0.054164770999999994,-0.054164770999999994,0.0381712031,0.0381712031,0.0001317282,0.0381712031,10
